id,name,slug,universityType,populationType,cost,undergraduates,admissionRate,freshmanSatisfaction,inStateTuition,outOfStateTuition,admissionDeadline,chance,applicationStatus,financialAidStatus,address.street1,address.city,address.state,address.zipCode
178,Bryn Mawr College,bryn-mawr-college,Private,Women Only,$$$,1384.0,"33% of 3,332 applicants were admitted",89.5,"  $56,610","  $56,610",January 15,,,,101 North Merion Avenue,Bryn Mawr,PA,19010-2899
179,Bucknell University,bucknell-university,Private,Coed,$$$,3627.0,"34% of 9,845 applicants were admitted",92.0,"  $58,202","  $58,202",January 15,,,,One Dent Drive,Lewisburg,PA,17837
310,Buena Vista University,buena-vista-university,Private,Coed,$$$,732.0,"57% of 2,101 applicants were admitted",70.0,"  $36,426","  $36,426",Rolling,,,,610 West Fourth Street,Storm Lake,IA,50588
90,Buffalo State College,buffalo-state-college,Public,Coed,$$,8082.0,"67% of 14,577 applicants were admitted",58.0,"   $8,672","  $18,382",February 1,,,,1300 Elmwood Avenue,Buffalo,NY,14222-1095
689,Bushnell University,northwest-christian-university,Private,Coed,$$,593.0,62% of 479 applicants were admitted,71.0,"  $32,320","  $32,320",Rolling,,,,828 East 11th Avenue,Eugene,OR,97401-3745
311,Butler University,butler-university,Private,Coed,$$$,4685.0,"73% of 14,891 applicants were admitted",88.0,"  $43,400","  $43,400",February 1,,,,4600 Sunset Avenue,Indianapolis,IN,46208-3485
621,Cabarrus College of Health Sciences,cabarrus-college-of-health-sciences,Private,Women Only,,443.0,100% of 28 applicants were admitted,,"  $13,044","  $13,044",February 1,,,,401 Medical Park Drive,Concord,NC,28025
180,Cabrini University,cabrini-university,Private,Coed,$$,1550.0,"75% of 3,342 applicants were admitted",,"  $33,845","  $33,845",Rolling,,,,610 King of Prussia Road,Radnor,PA,19087
76,Cairn University,cairn-university,Private,Coed,$$,762.0,99% of 345 applicants were admitted,73.6,"  $28,668","  $28,668",May 1,,,,200 Manor Avenue,Langhorne,PA,19047-2990
658,Caldwell University,caldwell-university,Private,Coed,$$$,1704.0,"93% of 3,527 applicants were admitted",79.0,"  $36,900","  $36,900",Rolling,,,,120 Bloomfield Avenue,Caldwell,NJ,07006-6195
1179,California Baptist University,california-baptist-university,Private,Coed,$$$,8190.0,"77% of 8,241 applicants were admitted",77.0,"  $36,340","  $36,340",Rolling,,,,8432 Magnolia Avenue,Riverside,CA,92504-3206
3098,California Christian College,california-christian-college,Private,Coed,$$,12.0,100% of 1 applicants were admitted,100.0,"  $10,050","  $10,050",Rolling,,,,5364 East Belmont Avenue,Fresno,CA,93727
3091,California Coast University,california-coast-university,Private for-profit,Coed,,,Not reported,,Not reported,Not reported,,,,,925 North Spurgeon Street,Santa Ana,CA,92701
984,California College of the Arts,california-college-of-the-arts,Private,Coed,$$$,1528.0,"70% of 3,077 applicants were admitted",82.0,"  $49,148","  $49,148",February 1,,,,1111 Eighth Street,San Francisco,CA,94107
3085,California College San Diego,california-college-san-diego,Private,Coed,,1299.0,Not reported,89.0,Not reported,Not reported,,,,,"6602 Convoy Court, Suite 100",San Diego,CA,92111
3172,California Institute of Integral Studies,california-institute-of-integral-studies,Private,Coed,,69.0,Not reported,30.0,"  $20,980","  $20,980",,,,,1453 Mission Street,San Francisco,CA,94103
706,California Institute of Technology,california-institute-of-technology,Private,Coed,$$$,938.0,"6% of 8,367 applicants were admitted",98.0,"  $56,862","  $56,862",January 3,,,,1200 East California Boulevard,Pasadena,CA,91125-0001
1068,California Institute of the Arts,california-institute-of-the-arts,Private,Coed,$$$,1021.0,"25% of 2,267 applicants were admitted",85.8,"  $53,466","  $53,466",Rolling,,,,24700 McBean Parkway,Valencia,CA,91355-2340
3399,California Intercontinental University,california-intercontinental-university,,Coed,,,Not reported,,Not reported,Not reported,,,,,"17310 Red Hill Avenue, #200",Irvine,CA,92614
932,California Lutheran University,california-lutheran-university,Private,Coed,$$$,3078.0,"71% of 6,175 applicants were admitted",84.0,"  $45,982","  $45,982",January 1,,,,60 West Olsen Road,Thousand Oaks,CA,91360-2787
656,California Maritime Academy,california-maritime-academy,Public,Coed,,911.0,"76% of 1,418 applicants were admitted",76.0,Not reported,Not reported,November 30,,,,200 Maritime Academy Drive,Vallejo,CA,94590
2088,California Miramar University,california-miramar-university,Private,Coed,,,Not reported,,Not reported,Not reported,,,,,"3550 Camino Del Rio North, Suite 208",San Diego,CA,92108
666,"California Polytechnic State University, San Luis Obispo",california-polytechnic-state-university-san-luis-obispo,Public,Coed,$$,20454.0,"28% of 54,072 applicants were admitted",94.0,"   $9,943","  $23,833",November 30,,,,1 Grand Avenue,San Luis Obispo,CA,93407
1078,"California State Polytechnic University, Pomona",california-state-polytechnic-university-pomona,Public,Coed,$$,26455.0,"55% of 39,726 applicants were admitted",89.0,"   $7,126","  $19,276",December 1,,,,3801 West Temple Avenue,Pomona,CA,91768-2557
868,California State University Bakersfield,california-state-university-bakersfield,Public,Coed,,9796.0,"79% of 10,931 applicants were admitted",77.1,Not reported,Not reported,,,,,9001 Stockdale Highway,Bakersfield,CA,93311
2004,California State University Channel Islands,california-state-university-channel-islands,Public,Coed,,3342.0,"53% of 5,562 applicants were admitted",76.0,Not reported,Not reported,,,,,One University Drive,Camarillo,CA,93012
1083,California State University Chico,california-state-university-chico,Public,Coed,$$,16099.0,"72% of 25,908 applicants were admitted",85.0,"   $7,806","  $19,686",,,,,400 West First Street,Chico,CA,95929-0722
969,California State University Dominguez Hills,california-state-university-dominguez-hills,Public,Coed,$$,15315.0,"79% of 20,351 applicants were admitted",76.8,"   $8,140","  $17,644",Rolling,,,,1000 East Victoria Street,Carson,CA,90747-0001
654,California State University East Bay,california-state-university-east-bay,Public,Coed,$$,12316.0,"74% of 15,963 applicants were admitted",75.3,"   $6,939","  $19,911",November 30,,,,25800 Carlos Bee Boulevard,Hayward,CA,94542-3000
842,California State University Fresno,california-state-university-fresno,Public,Coed,,21462.0,"58% of 18,122 applicants were admitted",82.5,Not reported,Not reported,,,,,5241 North Maple Avenue,Fresno,CA,93740-8027
1685,California State University Fullerton,california-state-university-fullerton,Public,Coed,,35169.0,"53% of 50,105 applicants were admitted",88.7,"   $8,108","  $17,612",November 30,,,,800 North State College Boulevard,Fullerton,CA,92831-3599
259,California State University Long Beach,california-state-university-long-beach,Public,Coed,$$,32784.0,"39% of 71,297 applicants were admitted",87.1,"   $6,846","  $17,142",,,,,1250 Bellflower Boulevard,Long Beach,CA,90840
1080,California State University Los Angeles,california-state-university-los-angeles,Public,Coed,$$,22626.0,"48% of 33,641 applicants were admitted",80.8,"   $6,768","  $18,648",November 30,,,,5151 State University Drive,Los Angeles,CA,90032-8530
1829,California State University Monterey Bay,california-state-university-monterey-bay,Public,Coed,$$,6799.0,"75% of 12,327 applicants were admitted",80.0,"   $7,143","  $19,023",,,,,100 Campus Center,Seaside,CA,93955-8001
903,California State University Northridge,california-state-university-northridge,Public,Coed,$$,34633.0,"59% of 30,637 applicants were admitted",80.0,"   $8,554","  $14,098",,,,,18111 Nordhoff Street,Northridge,CA,91330
625,California State University Sacramento,california-state-university-sacramento,Public,Coed,$$,28251.0,"82% of 27,576 applicants were admitted",83.4,"   $7,368","  $19,248",November 30,,,,6000 J Street,Sacramento,CA,95819
1076,California State University San Bernardino,california-state-university-san-bernardino,Public,Coed,,18114.0,"69% of 16,307 applicants were admitted",85.7,Not reported,Not reported,Rolling,,,,5500 University Parkway,San Bernardino,CA,92407
1308,California State University San Marcos,california-state-university-san-marcos,Public,Coed,$$,13879.0,"62% of 17,343 applicants were admitted",78.5,"  $13,454","  $22,958",,,,,333 South Twin Oaks Valley Road,San Marcos,CA,92096-0001
1073,California State University Stanislaus,california-state-university-stanislaus,Public,Coed,$$,9723.0,"89% of 8,764 applicants were admitted",82.6,"   $7,584",Not reported,November 30,,,,One University Circle,Turlock,CA,95382
3206,California University of Management and Sciences,california-university-of-management-and-sciences,Private,Coed,,,Not reported,,Not reported,Not reported,,,,,721 North Euclid Street,Anaheim,CA,92801
181,California University of Pennsylvania,california-university-of-pennsylvania,Public,Coed,$$,5174.0,"97% of 2,909 applicants were admitted",71.4,"  $10,902","  $14,760",Rolling,,,,250 University Avenue,California,PA,15419-1394
312,Calumet College of St. Joseph,calumet-college-of-st-joseph,Private,Coed,$$,549.0,31% of 661 applicants were admitted,50.0,"  $20,970","  $20,970",Rolling,,,,2400 New York Avenue,Whiting,IN,46394-2195
967,Calvary Bible College and Theological Seminary,calvary-bible-college-and-theological-seminary,Private,Coed,$$,275.0,67% of 82 applicants were admitted,52.9,"  $11,164","  $11,164",Rolling,,,,15800 Calvary Road,Kansas City,MO,64147
313,Calvin University,calvin-college,Private,Coed,$$$,3467.0,"77% of 3,401 applicants were admitted",84.6,"  $37,806","  $37,806",Rolling,,,,"3201 Burton Street, SE",Grand Rapids,MI,49546-4388
565,Cambridge College,cambridge-college,Private,Coed,,787.0,43% of 63 applicants were admitted,,Not reported,Not reported,Rolling,,,,500 Rutherford Avenue,Boston,MA,02129
824,Cameron University,cameron-university,Public,Coed,$,3815.0,100% of 994 applicants were admitted,67.0,"   $6,450","  $15,870",Rolling,,,,2800 West Gore Boulevard,Lawton,OK,73505-6377
1445,Campbell University,campbell-university,Private,Coed,$$,3980.0,"78% of 5,422 applicants were admitted",76.0,"  $32,500","  $32,500",Rolling,,,,450 Leslie Campbell Avenue,Buies Creek,NC,27506
1446,Campbellsville University,campbellsville-university,Private,Coed,$$,6083.0,"70% of 4,146 applicants were admitted",68.0,"  $25,400","  $25,400",Rolling,,,,1 University Drive,Campbellsville,KY,42718-2799
1192,Canisius College,canisius-college,Private,Coed,$$,2213.0,"83% of 3,422 applicants were admitted",84.0,"  $30,230","  $30,230",Rolling,,,,2001 Main Street,Buffalo,NY,14208-1098
2010,Capella University,capella-university,Private for-profit,Coed,,7487.0,Not reported,,Not reported,Not reported,Rolling,,,,"225 South 6th Street, 9th Floor",Minneapolis,MN,55402
314,Capital University,capital-university,Private,Coed,$$$,2439.0,"72% of 4,794 applicants were admitted",77.6,"  $38,298","  $38,298",Rolling,,,,1 College and Main,Columbus,OH,43209-2394
1447,Capitol Technology University,capitol-college,Private,Coed,,309.0,Not reported,,"  $25,540","  $25,540",Rolling,,,,11301 Springfield Road,Laurel,MD,20708-9759
315,Cardinal Stritch University,cardinal-stritch-university,Private,Coed,$$,1148.0,"81% of 1,140 applicants were admitted",60.0,"  $33,770","  $33,770",Rolling,,,,6801 North Yates Road,Milwaukee,WI,53217-3985
1421,Caribbean University,caribbean-university,Private,Coed,,2920.0,"57% of 1,020 applicants were admitted",72.0,Not reported,Not reported,Rolling,,,,Box 493,Bayamón,PR,00960-0493
316,Carleton College,carleton-college,Private,Coed,$$$,2097.0,"20% of 7,092 applicants were admitted",97.1,"  $57,111","  $57,111",January 15,,,,One North College Street,Northfield,MN,55057-4001
1830,Carlos Albizu University - Miami,carlos-albizu-university-miami,Private,Coed,,356.0,72% of 25 applicants were admitted,42.0,Not reported,Not reported,Rolling,,,,2173 Northwest 99th Avenue,Miami,FL,33172-2209
3081,Carlos Albizu University - San Juan,carlos-albizu-university-san-juan,Private,Coed,,142.0,84% of 63 applicants were admitted,,Not reported,Not reported,July 16,,,,151 Tanca Street,San Juan,PR,00901
187,Carlow University,carlow-university,Private,Women Only,$$,1298.0,92% of 721 applicants were admitted,77.7,"  $30,528","  $30,528",Rolling,,,,3333 Fifth Avenue,Pittsburgh,PA,15213-3165
204,Carnegie Mellon University,carnegie-mellon-university,Private,Coed,$$$,7022.0,"15% of 27,634 applicants were admitted",97.3,"  $58,924","  $58,924",January 4,,,,5000 Forbes Avenue,Pittsburgh,PA,15213-3891
3049,Carolina Christian College,carolina-christian-college,Private,Coed,$,47.0,75% of 12 applicants were admitted,83.0,"   $8,890","   $8,890",Rolling,,,,"4209 Indiana Avenue, PO Box 777",Winston-Salem,NC,27102-0777
1195,Carroll College,carroll-college,Private,Coed,$$,1322.0,"78% of 2,709 applicants were admitted",80.6,"  $35,486","  $35,486",February 28,,,,1601 North Benton Avenue,Helena,MT,59625-0002
317,Carroll University,carroll-university,Private,Coed,$$,2981.0,"71% of 3,688 applicants were admitted",79.2,"  $31,918","  $31,918",Rolling,,,,100 North East Avenue,Waukesha,WI,53186-5593
1448,Carson-Newman University,carson-newman-university,Private,Coed,$$,1774.0,"66% of 3,736 applicants were admitted",63.0,"  $29,500","  $29,500",,,,,"1646 Russell Avenue, PO Box 557",Jefferson City,TN,37760
318,Carthage College,carthage-college,Private,Coed,$$$,8622.0,"68% of 7,018 applicants were admitted",76.0,"  $63,000","  $63,000",Rolling,,,,2001 Alford Park Drive,Kenosha,WI,53140
3077,Carver College,carver-college,Private,Coed,,104.0,100% of 49 applicants were admitted,56.0,Not reported,Not reported,August 1,,,,3870 Cascade Road SW,Atlanta,GA,30331
966,Case Western Reserve University,case-western-reserve-university,Private,Coed,$$$,5383.0,"27% of 28,786 applicants were admitted",93.2,"  $52,948","  $52,948",January 15,,,,10900 Euclid Avenue,Cleveland,OH,44106
209,Castleton University,castleton-state-college,Public,Coed,,1969.0,"78% of 2,397 applicants were admitted",75.3,Not reported,Not reported,Rolling,,,,62 Alumni Dr.,Castleton,VT,05735
1449,Catawba College,catawba-college,Private,Coed,$$$,1331.0,"50% of 3,335 applicants were admitted",72.0,"  $78,510","  $78,510",Rolling,,,,2300 West Innes Street,Salisbury,NC,28144-2488
1451,Catholic University of America,catholic-university-of-america,Private,Coed,$$$,3279.0,"85% of 5,668 applicants were admitted",88.0,"  $49,416","  $49,416",January 15,,,,Cardinal Station,Washington,DC,20064
296,Cazenovia College,cazenovia-college,Private,Coed,$$$,854.0,"94% of 2,050 applicants were admitted",71.0,"  $36,026","  $36,026",Rolling,,,,22 Sullivan Street,Cazenovia,NY,13035-1084
216,Cedar Crest College,cedar-crest-college,Private,Women Only,$$$,1216.0,"61% of 1,375 applicants were admitted",75.0,"  $41,567","  $41,567",Rolling,,,,100 College Drive,Allentown,PA,18104-6196
319,Cedarville University,cedarville-university,Private,Coed,$$,3879.0,"79% of 3,869 applicants were admitted",84.9,"  $32,564","  $32,564",Rolling,,,,251 North Main Street,Cedarville,OH,45314
1452,Centenary College of Louisiana,centenary-college-of-louisiana,Private,Coed,$$$,549.0,60% of 920 applicants were admitted,70.0,"  $38,060","  $38,060",February 15,,,,2911 Centenary Boulevard,Shreveport,LA,71104
218,Centenary University,centenary-university,Private,Coed,$$,1518.0,"88% of 1,160 applicants were admitted",87.0,"  $32,998","  $32,998",Rolling,,,,400 Jefferson Street,Hackettstown,NJ,07840-2100
1288,Central Baptist College,central-baptist-college,Private,Coed,$$,832.0,62% of 318 applicants were admitted,64.0,"  $16,200","  $16,200",August 15,,,,1501 College Avenue,Conway,AR,72032
1397,Central Christian College of Kansas,central-christian-college-of-kansas,Private,Coed,,466.0,99% of 402 applicants were admitted,41.0,Not reported,Not reported,Rolling,,,,"1200 South Main, PO Box 1403",McPherson,KS,67460-5799
1365,Central Christian College of the Bible,central-christian-college-of-the-bible,Private,Coed,$$,417.0,65% of 354 applicants were admitted,57.0,"  $14,100","  $14,100",Rolling,,,,911 Urbandale Drive East,Moberly,MO,65270-1997
321,Central College,central-college,Private,Coed,$$,1274.0,"64% of 3,071 applicants were admitted",78.0,"  $18,600","  $18,600",August 15,,,,812 University Street,Pella,IA,50219
220,Central Connecticut State University,central-connecticut-state-university,Public,Coed,$$,9045.0,"66% of 7,807 applicants were admitted",72.0,"  $11,068","  $22,870",May 1,,,,1615 Stanley Street,New Britain,CT,06050-4010
322,Central Methodist University,central-methodist-university,Private,Coed,$$,1145.0,"94% of 1,486 applicants were admitted",67.9,"  $25,770","  $25,770",Rolling,,,,411 Central Methodist Square,Fayette,MO,65248-1198
323,Central Michigan University,central-michigan-university,Public,Coed,$$,14672.0,"70% of 16,411 applicants were admitted",74.0,"  $13,260","  $13,260",Rolling,,,,1200 South Franklin Street,Mount Pleasant,MI,48859
3000,Central Penn College,central-penn-college,Private for-profit,Coed,$$,1196.0,79% of 436 applicants were admitted,47.0,"  $18,714","  $18,714",Rolling,,,,College Hill & Valley Roads,Summerdale,PA,17093-0309
325,Central State University,central-state-university,Public,Coed,$$,2033.0,"57% of 13,464 applicants were admitted",46.0,"   $6,726","   $8,726",Rolling,,,,"1400 Brush Row Road, PO Box 1004",Wilberforce,OH,45384
929,Central Washington University,central-washington-university,Public,Coed,$$,10884.0,"88% of 9,914 applicants were admitted",70.8,"   $7,562","  $23,243",Rolling,,,,400 East University Way,Ellensburg,WA,98926
1832,Central Yeshiva Tomchei Tmimim-Lubavitch,central-yeshiva-tomchei-tmimim-lubavitch,Private,Men Only,,582.0,100% of 260 applicants were admitted,,Not reported,Not reported,,,,,841-853 Ocean Parkway,Brooklyn,NY,11230
1456,Centre College,centre-college,Private,Coed,$$$,1411.0,"76% of 2,212 applicants were admitted",90.0,"  $43,000","  $43,000",January 15,,,,600 West Walnut Street,Danville,KY,40422-1394
682,Chadron State College,chadron-state-college,Public,Coed,,2199.0,Not reported,64.0,Not reported,Not reported,Rolling,,,,1000 Main Street,Chadron,NE,69337
3215,Chamberlain College of Nursing,chamberlain-college-of-nursing-cleveland-oh,Private for-profit,Coed,,218.0,Not reported,,Not reported,Not reported,Rolling,,,,6700 Euclid Avenue,Cleveland,OH,44103
2099,Chamberlain College of Nursing,chamberlain-college-of-nursing-phoenix-az,Private for-profit,Coed,,633.0,Not reported,,Not reported,Not reported,,,,,2149 West Dunlap Avenue,Phoenix,AZ,85021
3214,Chamberlain College of Nursing,chamberlain-college-of-nursing-indianapolis-in,Private for-profit,Coed,,265.0,Not reported,,Not reported,Not reported,Rolling,,,,9100 Keystone Crossing,Indianapolis,IN,46240
3217,Chamberlain College of Nursing,chamberlain-college-of-nursing-miramar-fl,Private for-profit,Coed,,567.0,Not reported,,Not reported,Not reported,Rolling,,,,2300 SW 145th Avenue,Miramar,FL,33027
1279,Chamberlain College of Nursing,chamberlain-college-of-nursing-st-louis-mo,Private for-profit,Coed,,543.0,Not reported,,Not reported,Not reported,Rolling,,,,"11830 Westline Industrial Drive, Suite 106",St. Louis,MO,63146
3213,Chamberlain College of Nursing,chamberlain-college-of-nursing-atlanta-ga,Private for-profit,Coed,,996.0,Not reported,,Not reported,Not reported,Rolling,,,,"5775 Peachtree Dunwoody Road NE, Suite A-100",Atlanta,GA,30342
3376,Chamberlain College of Nursing,chamberlain-college-of-nursing-tinley-park-il,Private for-profit,Coed,,665.0,Not reported,,Not reported,Not reported,Rolling,,,,18624 West Creek Drive,Tinley Park,IL,60477
3216,Chamberlain College of Nursing,chamberlain-college-of-nursing-arlington-va,Private for-profit,Coed,,544.0,Not reported,,Not reported,Not reported,Rolling,,,,1951 Kidwell Drive,Vienna,VA,22182
3218,Chamberlain College of Nursing,chamberlain-college-of-nursing-houston-tx,Private for-profit,Coed,,439.0,Not reported,,Not reported,Not reported,Rolling,,,,11025 Equity Drive,Houston,TX,77041
2098,Chamberlain College of Nursing ,chamberlain-college-of-nursing-columbus-oh,Private for-profit,Coed,,500.0,Not reported,,Not reported,Not reported,Rolling,,,,1350 Alum Creek Drive,Columbus,OH,43209
3100,Chamberlain College of Nursing ,chamberlain-college-of-nursing-chicago-il,Private for-profit,Coed,,940.0,Not reported,,Not reported,Not reported,Rolling,,,,3300 North Campbell Avenue,Chicago,IL,60618
2096,Chamberlain College of Nursing ,chamberlain-college-of-nursing-jacksonville-fl,Private for-profit,Coed,,485.0,Not reported,,Not reported,Not reported,,,,,5200 Belfort Road,Jacksonville,FL,32256
2097,Chamberlain College of Nursing ,chamberlain-college-of-nursing-addison-il,Private for-profit,Coed,,14259.0,Not reported,,Not reported,Not reported,Rolling,,,,1221 North Swift Road,Addison,IL,60101
636,Chaminade University of Honolulu,chaminade-university-of-honolulu,Private,Coed,$$,1099.0,"94% of 1,490 applicants were admitted",86.0,"  $26,914","  $26,914",Rolling,,,,3140 Waialae Avenue,Honolulu,HI,96816-1578
1270,Champlain College,champlain-college,Private,Coed,$$$,2078.0,"85% of 3,629 applicants were admitted",82.5,"  $41,828","  $41,828",February 1,,,,PO Box 670,Burlington,VT,05402-0670
661,Chapman University,chapman-university,Private,Coed,$$$,1378.0,"56% of 14,273 applicants were admitted",91.0,"  $57,214","  $57,214",January 15,,,,One University Drive,Orange,CA,92866
531,Charles R. Drew University of Medicine and Science,charles-r-drew-university-of-medicine-and-science,Private,Coed,,199.0,20% of 208 applicants were admitted,70.4,"  $17,440","  $17,440",Rolling,,,,1731 East 120th Street,Los Angeles,CA,90059
494,Charleston Southern University,charleston-southern-university,Private,Coed,$$,3062.0,"56% of 4,125 applicants were admitted",66.0,"  $26,060","  $26,060",Rolling,,,,PO Box 118087,Charleston,SC,29423-8087
3229,Charlotte Christian College and Theological Seminary,charlotte-christian-college-and-theological-seminary,Private,Coed,,65.0,Not reported,67.0,"  $10,770","  $10,770",Rolling,,,,3117 Whiting Avenue,Charlotte,NC,28205
3255,Charter College,charter-college,Private for-profit,Coed,,516.0,Not reported,,Not reported,Not reported,Rolling,,,,"2221 East Northern Lights Boulevard, Suite 120",Anchorage,AK,99508
1275,Charter Oak State College,charter-oak-state-college,Public,Coed,,1547.0,Not reported,,"  $10,243","  $13,243",Rolling,,,,55 Paul Manafort Drive,New Britain,CT,06053-2142
223,Chatham University,chatham-university,Private,Women Only,$$$,1408.0,"62% of 2,531 applicants were admitted",79.7,"  $39,902","  $39,902",Rolling,,,,Woodland Road,Pittsburgh,PA,15232-2826
225,Chestnut Hill College,chestnut-hill-college,Private,Coed,$$$,1364.0,"96% of 1,286 applicants were admitted",78.6,"  $37,200","  $37,200",Rolling,,,,9601 Germantown Avenue,Philadelphia,PA,19118-2693
227,Cheyney University of Pennsylvania,cheyney-university-of-pennsylvania,Public,Coed,$$,997.0,"85% of 1,127 applicants were admitted",55.0,"  $10,533","  $15,549",March 31,,,,"1837 University Circle, PO Box 200",Cheyney,PA,19319
326,Chicago State University,chicago-state-university,Public,Coed,,2027.0,"30% of 5,517 applicants were admitted",53.0,Not reported,Not reported,May 1,,,,9501 South King Drive,Chicago,IL,60628
1249,Chowan University,chowan-university,Private,Coed,$$,1498.0,"60% of 4,379 applicants were admitted",48.0,"  $24,980","  $24,980",Rolling,,,,One University Place,Murfreesboro,NC,27855
288,Christendom College,christendom-college,Private,Coed,$$,493.0,89% of 322 applicants were admitted,85.0,"  $27,240","  $27,240",March 1,,,,134 Christendom Drive,Front Royal,VA,22630-5103
1459,Christian Brothers University,christian-brothers-university,Private,Coed,$$,1642.0,"50% of 3,284 applicants were admitted",75.0,"  $34,820","  $34,820",Rolling,,,,650 East Parkway South,Memphis,TN,38104-5581
1460,Christopher Newport University,christopher-newport-university,Public,Coed,$$,4837.0,"72% of 7,204 applicants were admitted",84.0,"  $14,924","  $27,390",February 1,,,,1 Avenue of the Arts,Newport News,VA,23606-3072
328,Cincinnati Christian University ,cincinnati-christian-university,Private,Coed,$$,678.0,59% of 241 applicants were admitted,49.0,"  $17,228","  $17,228",July 1,,,,"2700 Glenway Avenue, PO Box 04320",Cincinnati,OH,45204-3200
3266,City College - Fort Lauderdale,city-college-fort-lauderdale,Private,Coed,,677.0,91% of 129 applicants were admitted,,Not reported,Not reported,,,,,"2000 West Commercial Boulevard, Suite 200",Fort Lauderdale,FL,33309
405,City College of New York,city-college-of-new-york,Public,Coed,$$,13224.0,"41% of 31,420 applicants were admitted",,"  $14,500","  $19,240",February 1,,,,160 Convent Avenue,New York,NY,10031-9198
1260,City University of Seattle,city-university-of-seattle,Private,Coed,,1035.0,100% of 86 applicants were admitted,,Not reported,Not reported,Rolling,,,,"521 Wall Street, Suite 100",Seattle,WA,98121
1450,Claflin University,claflin-university,Private,Coed,$$,1836.0,"60% of 4,073 applicants were admitted",70.0,"  $16,672","  $16,672",Rolling,,,,400 Magnolia Street,Orangeburg,SC,29115
716,Claremont McKenna College,claremont-mckenna-college,Private,Coed,$$$,1343.0,"10% of 6,066 applicants were admitted",95.4,"  $56,475","  $56,475",January 5,,,,500 East 9th Street,Claremont,CA,91711
